ACCUMULATOR_UNIQUE_ID,FILTER_TYPE,REASON_TYPE,TXN_AXN_TYPE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              <endrec>
"937533759","21","10000090","20018"<endrec>
"937533775","11","-1","-1"<endrec>
"937533775","21","10000090","20018"<endrec>
"937533780","11","-1","-1"<endrec>
"937533780","21","-1","-1"<endrec>
"937533781","11","-1","-1"<endrec>
"937533781","21","10003390","20009"<endrec>
"937533796","11","-1","-1"<endrec>
"937533796","21","10000054","20006"<endrec>
"937533809","11","10000090","20018"<endrec>
"937533809","11","10000248","20018"<endrec>
"937533809","11","10003233","20018"<endrec>
"937533809","21","-1","-1"<endrec>
"937533811","11","10000090","20018"<endrec>
"937533811","11","10000248","20018"<endrec>
"937533811","11","10003233","20018"<endrec>
"937533811","21","-1","-1"<endrec>
"937533817","11","-1","-1"<endrec>
"937533817","21","10000025","20022"<endrec>
"937533837","11","10000090","20018"<endrec>
"937533837","11","10000248","20018"<endrec>
"937533837","11","10003233","20018"<endrec>
"937533837","21","-1","-1"<endrec>
"937533841","11","10000090","20018"<endrec>
"937533841","11","10000248","20018"<endrec>
"937533841","11","10003233","20018"<endrec>
"937533841","21","-1","-1"<endrec>
"937533856","11","-1","-1"<endrec>
"937533856","21","10000025","20022"<endrec>
"937534727","11","-1","-1"<endrec>
"937534727","21","10000025","20022"<endrec>
"937535735","11","-1","-1"<endrec>
"937535735","21","10000110","20020"<endrec>
"937535735","21","10000119","20020"<endrec>
"937535742","11","-1","-1"<endrec>
"937535742","21","10000110","20020"<endrec>
"937535744","11","10000110","20020"<endrec>
"937535744","11","10000119","20020"<endrec>
"937535744","22","-1","-1"<endrec>
"937535751","11","-1","-1"<endrec>
"937535751","21","10000110","20020"<endrec>
"937535755","11","10000090","20018"<endrec>
"937535755","11","10000248","20018"<endrec>
"937535755","11","10003233","20018"<endrec>
"937535755","21","-1","-1"<endrec>
"937535759","11","10000110","20020"<endrec>
"937535759","11","10000119","20020"<endrec>
"937535759","22","-1","-1"<endrec>
"937535764","11","10000090","20018"<endrec>
"937535764","11","10000248","20018"<endrec>
"937535764","11","10003233","20018"<endrec>
"937535764","21","-1","-1"<endrec>
"937535782","11","-1","-1"<endrec>
"937535782","21","10000119","20020"<endrec>
"937535806","11","-1","-1"<endrec>
"937535806","21","10000110","20020"<endrec>
"937535825","11","-1","-1"<endrec>
"937535825","21","10000110","20020"<endrec>
"937535825","21","10000119","20020"<endrec>
"937535838","11","-1","-1"<endrec>
"937535838","21","10002619","21499"<endrec>
"937535838","21","10002838","22199"<endrec>
"937536767","11","10000018","20004"<endrec>
"937536767","11","10000020","20022"<endrec>
"937536767","11","10000022","20022"<endrec>
"937536767","11","10000025","20022"<endrec>
"937536767","11","10000151","20004"<endrec>
"937536767","11","10000154","20004"<endrec>
"937536767","21","-1","-1"<endrec>
"937536768","11","10000119","20020"<endrec>
"937536768","22","0","0"<endrec>
"937538736","01","10004219","27499"<endrec>
"937538737","11","-1","-1"<endrec>
"937538737","21","-1","-1"<endrec>
"937538739","11","10004219","27499"<endrec>
"937538739","21","-1","-1"<endrec>
"937538740","11","-1","-1"<endrec>
"937538740","21","10004219","27499"<endrec>
"937539759","11","-1","-1"<endrec>
"937539759","21","10004219","27499"<endrec>
"937539765","11","-1","-1"<endrec>
"937539765","21","10000110","20020"<endrec>
"937539765","21","10000119","20020"<endrec>
"937539770","11","10000110","20020"<endrec>
"937539770","21","-1","-1"<endrec>
"937539788","11","-1","-1"<endrec>
"937539788","21","10000110","20020"<endrec>
"937539842","11","-1","-1"<endrec>
"937539842","21","10000110","20020"<endrec>
"937539863","11","-1","-1"<endrec>
"937539863","21","10000110","20020"<endrec>
"937539896","11","-1","-1"<endrec>
"937539896","21","-1","20020"<endrec>
"937539952","11","10000097","20020"<endrec>
"937539952","11","10000110","20020"<endrec>
"937539952","11","10000119","20020"<endrec>
"937539952","21","10000110","20020"<endrec>
"937548776","11","-1","-1"<endrec>
"937548776","21","10000110","20020"<endrec>
"937551752","11","10000110","20020"<endrec>
"937551752","22","0","0"<endrec>
"937551754","11","10000110","20020"<endrec>
"937551754","22","0","0"<endrec>
"937551771","01","10000016","21"<endrec>
"937551771","01","10002802","5730"<endrec>
"937551774","11","10000110","20020"<endrec>
"937551774","11","10003390","20009"<endrec>
"937551774","22","0","0"<endrec>
"937552740","01","10002802","5730"<endrec>
"937552745","11","-1","-1"<endrec>
"937552745","21","10002870","22399"<endrec>
"937554729","11","10000018","20004"<endrec>
"937554729","11","10000020","20022"<endrec>
"937554729","11","10000022","20022"<endrec>
"937554729","11","10000025","20022"<endrec>
"937554729","11","10000149","20004"<endrec>
"937554729","11","10000151","20004"<endrec>
"937554729","11","10000154","20004"<endrec>
"937554729","21","-1","-1"<endrec>
"937554731","11","-1","-1"<endrec>
"937554731","21","-1","20004"<endrec>
"937554731","21","-1","20022"<endrec>
"937554734","11","-1","-1"<endrec>
"937554734","21","-1","-1"<endrec>
"937554736","11","-1","20001"<endrec>
"937554736","11","-1","20003"<endrec>
"937554736","11","-1","20022"<endrec>
"937554736","11","-1","21198"<endrec>
"937554736","11","-1","24298"<endrec>
"937554736","11","-1","27698"<endrec>
"937554736","11","-1","27798"<endrec>
"937554736","21","-1","-1"<endrec>
"937554739","11","-1","20010"<endrec>
"937554739","11","-1","20020"<endrec>
"937554739","21","-1","-1"<endrec>
"937558736","11","10002620","21499"<endrec>
"937558736","21","10002620","21499"<endrec>
"937558740","11","-1","21499"<endrec>
"937558740","21","-1","-1"<endrec>
"937560727","11","-1","-1"<endrec>
"937560727","21","-1","20018"<endrec>
"937560727","21","-1","20020"<endrec>
"937560727","21","-1","21499"<endrec>
"937561727","11","10002619","21499"<endrec>
"937561727","21","-1","-1"<endrec>
"937566766","01","-1","-1"<endrec>
"937566779","01","10002802","5730"<endrec>
"937566851","11","-1","-1"<endrec>
"937566851","21","-1","20009"<endrec>
"937566858","11","-1","-1"<endrec>
"937566858","21","-1","24699"<endrec>
"937566860","11","-1","22199"<endrec>
"937566860","11","-1","24699"<endrec>
"937566860","21","-1","-1"<endrec>
"937566872","11","-1","20009"<endrec>
"937566872","11","-1","22199"<endrec>
"937566872","11","-1","24699"<endrec>
"937566872","21","-1","-1"<endrec>
"937566875","11","-1","-1"<endrec>
"937566875","21","-1","20009"<endrec>
"937566875","21","-1","24699"<endrec>
"937566885","11","-1","-1"<endrec>
"937566885","21","10000119","20020"<endrec>
"937577762","11","10002619","21499"<endrec>
"937577762","22","0","0"<endrec>
"937578759","11","10002619","21499"<endrec>
"937578759","22","0","0"<endrec>
"937580761","11","-1","-1"<endrec>
"937580761","21","10002620","21499"<endrec>
"937580765","11","10002619","21499"<endrec>
"937580765","22","0","0"<endrec>
"937583944","11","-1","-1"<endrec>
"937583944","21","-1","20020"<endrec>
"937585759","11","10000110","20020"<endrec>
"937585759","22","-1","-1"<endrec>
