CHARGE_PROFILE_UNIQUE_ID,LOAD_DATA_TS,PRODUCT_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        <endrec>
"937455349","","2"<endrec>
"937455351","","2"<endrec>
"937455354","","2"<endrec>
"937455356","","2"<endrec>
"937455363","","2"<endrec>
"937455396","","2"<endrec>
"937455397","","2"<endrec>
"937455400","","2"<endrec>
"937455404","","2"<endrec>
"937455406","","2"<endrec>
"937455408","","2"<endrec>
"937455409","","2"<endrec>
"937455428","","2"<endrec>
"937455429","","2"<endrec>
"937455431","","2"<endrec>
"937459313","","2"<endrec>
"937461350","","2"<endrec>
"937461351","","2"<endrec>
"937461353","","2"<endrec>
"937461354","","2"<endrec>
"937462425","","2"<endrec>
"937462481","","2"<endrec>
"937462492","","2"<endrec>
"937466570","","2"<endrec>
"937466571","","11"<endrec>
"937467558","","2"<endrec>
"937467572","","2"<endrec>
"937467580","","2"<endrec>
"937467584","","2"<endrec>
"937467587","","2"<endrec>
"937467593","","2"<endrec>
"937467600","","2"<endrec>
"937467602","","2"<endrec>
"937467603","","2"<endrec>
"937467604","","2"<endrec>
"937467609","","2"<endrec>
"937467610","","2"<endrec>
"937467612","","2"<endrec>
"937467616","","2"<endrec>
"937467625","","2"<endrec>
"937467626","","2"<endrec>
"937467634","","10000218"<endrec>
"937467635","","2"<endrec>
"937467640","","2"<endrec>
"937467642","","2"<endrec>
"937467645","","2"<endrec>
"937467646","","2"<endrec>
"937467647","","2"<endrec>
"937467649","","2"<endrec>
"937467650","","2"<endrec>
"937467652","","2"<endrec>
"937467653","","2"<endrec>
"937467654","","2"<endrec>
"937467655","","2"<endrec>
"937467657","","2"<endrec>
"937467658","","2"<endrec>
"937467659","","2"<endrec>
"937467661","","2"<endrec>
"937467662","","2"<endrec>
"937467663","","2"<endrec>
"937467664","","2"<endrec>
"937467665","","2"<endrec>
"937467666","","2"<endrec>
"937467673","","2"<endrec>
"937467675","","2"<endrec>
"937467676","","2"<endrec>
"937467677","","2"<endrec>
"937467678","","2"<endrec>
"937467679","","2"<endrec>
"937467680","","2"<endrec>
"937467681","","2"<endrec>
"937467684","","2"<endrec>
"937467685","","2"<endrec>
"937467686","","2"<endrec>
"937467691","","2"<endrec>
"937467695","","2"<endrec>
"937467696","","2"<endrec>
"937467698","","2"<endrec>
"937467701","","2"<endrec>
"937467704","","2"<endrec>
"937467708","","2"<endrec>
"937467711","","2"<endrec>
"937467722","","2"<endrec>
"937467723","","2"<endrec>
"937467725","","2"<endrec>
"937467727","","2"<endrec>
"937467739","","2"<endrec>
"937467740","","2"<endrec>
"937467744","","2"<endrec>
"937467747","","2"<endrec>
"937467749","","2"<endrec>
"937467752","","2"<endrec>
"937467756","","2"<endrec>
"937467759","","2"<endrec>
"937467760","","2"<endrec>
"937468542","","2"<endrec>
"937468543","","2"<endrec>
"937468544","","2"<endrec>
"937468546","","2"<endrec>
"937468553","","2"<endrec>
"937468554","","2"<endrec>
"937468572","","2"<endrec>
"937468575","","2"<endrec>
"937468609","","2"<endrec>
"937468612","","2"<endrec>
"937468613","","2"<endrec>
"937468638","","2"<endrec>
"937468642","","2"<endrec>
"937468643","","2"<endrec>
"937468716","","2"<endrec>
"937470592","","2"<endrec>
"937475549","","2"<endrec>
"937475551","","2"<endrec>
"937475585","","2"<endrec>
"937475590","","2"<endrec>
"937475616","","2"<endrec>
"937475640","","2"<endrec>
"937476568","","2"<endrec>
"937476573","","2"<endrec>
"937476574","","2"<endrec>
"937476576","","2"<endrec>
"937476586","","2"<endrec>
"937477538","","2"<endrec>
"937477539","","2"<endrec>
"937477540","","2"<endrec>
"937477542","","2"<endrec>
"937477544","","2"<endrec>
"937477546","","2"<endrec>
"937477547","","2"<endrec>
"937477549","","2"<endrec>
"937477552","","2"<endrec>
"937477553","","2"<endrec>
"937477560","","2"<endrec>
"937477563","","2"<endrec>
"937477565","","2"<endrec>
"937477576","","2"<endrec>
"937478544","","2"<endrec>
"937478546","","2"<endrec>
"937478547","","2"<endrec>
"937478548","","2"<endrec>
"937478550","","2"<endrec>
"937478551","","2"<endrec>
"937479538","","2"<endrec>
"937479539","","2"<endrec>
"937479541","","2"<endrec>
"937479542","","2"<endrec>
"937479543","","2"<endrec>
"937479544","","2"<endrec>
"937479545","","2"<endrec>
"937479546","","2"<endrec>
"937479547","","2"<endrec>
"937479552","","2"<endrec>
"937479553","","2"<endrec>
"937479554","","2"<endrec>
"937479555","","2"<endrec>
"937479557","","2"<endrec>
"937479558","","2"<endrec>
"937479559","","2"<endrec>
"937479560","","2"<endrec>
"937481561","","2"<endrec>
"937481562","","2"<endrec>
"937481563","","2"<endrec>
"937481564","","2"<endrec>
"937481565","","2"<endrec>
"937481567","","2"<endrec>
"937481568","","2"<endrec>
"937481580","","2"<endrec>
"937481584","","2"<endrec>
"937481588","","2"<endrec>
"937481589","","2"<endrec>
"937481590","","2"<endrec>
"937481591","","2"<endrec>
"937481592","","2"<endrec>
"937481593","","2"<endrec>
"937481594","","2"<endrec>
"937481595","","2"<endrec>
"937481602","","2"<endrec>
"937481603","","2"<endrec>
"937481604","","2"<endrec>
"937481607","","2"<endrec>
"937481613","","2"<endrec>
"937481615","","2"<endrec>
"937481619","","2"<endrec>
"937481625","","2"<endrec>
"937481629","","2"<endrec>
"937481634","","2"<endrec>
"937481637","","2"<endrec>
"937483571","","2"<endrec>
"937483581","","2"<endrec>
"937483582","","2"<endrec>
"937484585","","2"<endrec>
"937484591","","10000218"<endrec>
"937484605","","2"<endrec>
"937486675","","2"<endrec>
"937487600","","2"<endrec>
"937487648","","2"<endrec>
"937492627","","2"<endrec>
"937492629","","2"<endrec>
"937492637","","2"<endrec>
"937492650","","2"<endrec>
"937492656","","10000201"<endrec>
"937492662","","10000202"<endrec>
"937492663","","10000201"<endrec>
"937493585","","2"<endrec>
"937493588","","2"<endrec>
"937494628","","2"<endrec>
"937494632","","2"<endrec>
"937495612","","2"<endrec>
"937495622","","2"<endrec>
"937496658","","2"<endrec>
"937496681","","2"<endrec>
"937496699","","2"<endrec>
"937496705","","2"<endrec>
"937496723","","2"<endrec>
"937496757","","2"<endrec>
"937496766","","2"<endrec>
"937496849","","2"<endrec>
"937498818","","2"<endrec>
"937502730","","2"<endrec>
"937509895","","2"<endrec>
"937509897","","2"<endrec>
"937509898","","2"<endrec>
"937509899","","2"<endrec>
"937509900","","2"<endrec>
"937509901","","2"<endrec>
"937509902","","2"<endrec>
"937509903","","2"<endrec>
"937509905","","2"<endrec>
"937509906","","2"<endrec>
"937509922","","2"<endrec>
"937509925","","2"<endrec>
"937509961","","2"<endrec>
"937509962","","2"<endrec>
"937509965","","2"<endrec>
"937509966","","2"<endrec>
"937509969","","2"<endrec>
"937509970","","2"<endrec>
"937509987","","2"<endrec>
"937509993","","2"<endrec>
"937510001","","2"<endrec>
"937510002","","2"<endrec>
"937510003","","2"<endrec>
"937510004","","2"<endrec>
"937510013","","2"<endrec>
"937510017","","2"<endrec>
"937510024","","2"<endrec>
"937510026","","2"<endrec>
"937510031","","2"<endrec>
"937510034","","2"<endrec>
"937510046","","2"<endrec>
"937510056","","2"<endrec>
"937510061","","2"<endrec>
"937510066","","2"<endrec>
"937510070","","2"<endrec>
"937510074","","2"<endrec>
"937510075","","2"<endrec>
"937510080","","2"<endrec>
"937510083","","2"<endrec>
"937510084","","2"<endrec>
"937510086","","2"<endrec>
"937510101","","2"<endrec>
"937510104","","2"<endrec>
"937510106","","2"<endrec>
"937510108","","2"<endrec>
"937510121","","2"<endrec>
"937510130","","2"<endrec>
"937510152","","2"<endrec>
"937510210","","2"<endrec>
"937510272","","10000202"<endrec>
"937510277","","10000202"<endrec>
"937510301","","2"<endrec>
"937510304","","2"<endrec>
"937510307","","2"<endrec>
"937510311","","2"<endrec>
"937510329","","2"<endrec>
"937510341","","2"<endrec>
"937510344","","2"<endrec>
"937510347","","2"<endrec>
"937510353","","2"<endrec>
"937510356","","2"<endrec>
"937510446","","2"<endrec>
"937510471","","10000202"<endrec>
"937510730","","2"<endrec>
"937512726","","2"<endrec>
"937512839","","2"<endrec>
"937513747","","2"<endrec>
"937513761","","10000202"<endrec>
"937514852","","10000202"<endrec>
"937514900","","2"<endrec>
"937514901","","2"<endrec>
"937514910","","10000202"<endrec>
"937515805","","10000202"<endrec>
"937515818","","10000202"<endrec>
"937515831","","6"<endrec>
"937516755","","2"<endrec>
"937516758","","2"<endrec>
"937516761","","2"<endrec>
"937522742","","2"<endrec>
"937523728","","2"<endrec>
"937531727","","2"<endrec>
"937531728","","2"<endrec>
"937531732","","2"<endrec>
"937531733","","2"<endrec>
"937531736","","2"<endrec>
"937531737","","2"<endrec>
"937531739","","2"<endrec>
"937531741","","2"<endrec>
"937531742","","2"<endrec>
"937531745","","10000201"<endrec>
"937531746","","2"<endrec>
"937531755","","2"<endrec>
"937532735","","2"<endrec>
"937532742","","2"<endrec>
"937532763","","10000202"<endrec>
"937532808","","10000202"<endrec>
"937533727","","2"<endrec>
"937533733","","10000202"<endrec>
"937533812","","2"<endrec>
"937535746","","2"<endrec>
"937535767","","2"<endrec>
"937535768","","2"<endrec>
"937535769","","2"<endrec>
"937535770","","2"<endrec>
"937535771","","2"<endrec>
"937535772","","2"<endrec>
"937535773","","2"<endrec>
"937535775","","2"<endrec>
"937535776","","2"<endrec>
"937535777","","2"<endrec>
"937535779","","2"<endrec>
"937535783","","2"<endrec>
"937535785","","2"<endrec>
"937535786","","2"<endrec>
"937535788","","2"<endrec>
"937535789","","2"<endrec>
"937535795","","2"<endrec>
"937535796","","2"<endrec>
"937535797","","2"<endrec>
"937535799","","2"<endrec>
"937535800","","2"<endrec>
"937535801","","2"<endrec>
"937535805","","2"<endrec>
"937535807","","2"<endrec>
"937535810","","2"<endrec>
"937535813","","2"<endrec>
"937535815","","2"<endrec>
"937535817","","2"<endrec>
"937535818","","2"<endrec>
"937535819","","2"<endrec>
"937535821","","2"<endrec>
"937535823","","2"<endrec>
"937539768","","2"<endrec>
"937539778","","2"<endrec>
"937539780","","2"<endrec>
"937539783","","2"<endrec>
"937539784","","2"<endrec>
"937539787","","2"<endrec>
"937539789","","2"<endrec>
"937539825","","2"<endrec>
"937539847","","2"<endrec>
"937539879","","2"<endrec>
"937539897","","2"<endrec>
"937539923","","2"<endrec>
"937539924","","2"<endrec>
"937539953","","2"<endrec>
"937547799","","2"<endrec>
"937548812","","2"<endrec>
"937548815","","2"<endrec>
"937548816","","2"<endrec>
"937548862","","2"<endrec>
"937548868","","2"<endrec>
"937548873","","2"<endrec>
"937549734","","2"<endrec>
"937551763","","2"<endrec>
"937551767","","10000228"<endrec>
"937552742","","2"<endrec>
"937552743","","2"<endrec>
"937552744","","2"<endrec>
