APPLYDATE,CREATE_OPER_ID,CREATE_OPER_TIME,DESCRIPTION,EFFECTIVEMODE,EXPIREDATE,IDENTITY_TYPE,LAST_OPER_ID,LAST_OPER_TIME,LOAD_DATA_TS,NAME,PROFILE_ID,STATUS,UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  <endrec>
"2015-09-16 18:43:59.466000","203000000000010809","2015-09-16 18:43:43.891000","B2C Tariff 1","1","2099-12-31 23:59:59.000000","5000","203000000000010809","2015-09-16 18:43:59.581000","","B2C Tariff 1","20006","30","937161187"<endrec>
"2015-09-17 09:16:52.605000","203000000000011204","2015-09-17 09:16:44.316000","TZ Pay Bill Split B0-C1","1","2015-09-19 05:00:58.360000","5000","203000000000011204","2015-09-19 05:00:58.364000","","TZ Pay Bill Split B0-C1","20136","50","937161201"<endrec>
"2017-09-25 08:49:03.038000","203000000000010807","2015-09-18 17:53:46.832000","TZ Pay Bill Split B2-C0","1","2099-12-31 23:59:59.000000","5000","203000000000019121","2017-09-25 08:49:03.039000","","TZ Pay Bill Split B2-C0","20174","30","937162188"<endrec>
"2017-09-25 08:37:47.184000","203000000000010807","2015-09-18 18:00:15.155000","TZ Pay Bill Split B2-C2","1","2099-12-31 23:59:59.000000","5000","203000000000019121","2017-09-25 08:37:47.185000","","TZ Pay Bill Split B2-C2","20175","30","937162190"<endrec>
"2017-09-25 08:45:51.852000","203000000000010807","2015-09-18 18:05:33.278000","TZ Pay Bill Split B3-C0","1","2099-12-31 23:59:59.000000","5000","203000000000019121","2017-09-25 08:45:51.853000","","TZ Pay Bill Split B3-C0","20176","30","937162193"<endrec>
"2015-09-19 05:00:58.360000","203000000000011204","2015-09-19 05:00:36.066000","TZ Pay Bill Split B0-C1","1","2015-11-16 12:27:35.662000","5000","203000000000010806","2015-11-16 12:27:35.666000","","TZ Pay Bill Split B0-C1","20136","50","937162194"<endrec>
"2016-07-15 05:32:13.401000","203000000000010805","2015-09-20 22:56:21.007000","TZ B2C Zero Charges","1","2099-12-31 23:59:59.000000","5000","203000000000014908","2016-07-15 05:32:13.404000","","TZ B2C Zero Charges","20177","30","937162197"<endrec>
"2015-09-23 00:24:53.617000","203000000000010805","2015-09-23 00:23:17.209000","TZ B2C Charges 2","1","2015-11-04 14:35:29.675000","5000","203000000000010809","2015-11-04 14:35:29.683000","","TZ B2C Charges 2","20137","50","937163213"<endrec>
"2015-09-23 00:27:41.814000","203000000000010805","2015-09-23 00:27:25.236000","TZ B2C Charges 3","1","2099-12-31 23:59:59.000000","5000","203000000000010805","2015-09-23 00:27:41.819000","","TZ B2C Charges 3","20184","30","937163214"<endrec>
"2015-09-23 00:29:38.844000","203000000000010805","2015-09-23 00:29:28.592000","TZ B2C Charges 4","1","2099-12-31 23:59:59.000000","5000","203000000000010805","2015-09-23 00:29:38.848000","","TZ B2C Charges 4","20185","30","937163215"<endrec>
"2015-09-23 00:31:33.869000","203000000000010805","2015-09-23 00:31:23.385000","TZ B2C Charges 5","1","2099-12-31 23:59:59.000000","5000","203000000000010805","2015-09-23 00:31:33.879000","","TZ B2C Charges 5","20186","30","937163216"<endrec>
"2015-09-23 01:14:12.072000","203000000000010805","2015-09-23 00:59:09.472000","TZ Default Organisation Charges","1","2015-10-20 15:04:59.706000","5000","203000000000010809","2015-10-20 15:04:59.730000","","TZ Default Organisation Charges","20134","50","937163217"<endrec>
"2015-10-01 09:04:37.881000","203000000000011312","2015-10-01 08:45:39.557000","Test Charge Profile","1","2015-10-01 10:44:16.875000","1000","203000000000011312","2015-10-01 10:44:16.902000","","Test Charge Profile_IBM","20194","50","937164193"<endrec>
"2015-10-01 10:40:27.238000","203000000000011312","2015-10-01 10:39:44.536000","Default Organization Charge Profile","1","2015-10-01 10:42:08.076000","5000","203000000000011312","2015-10-01 10:42:08.097000","","test organisation ibm","20195","50","937164195"<endrec>
"2015-10-01 10:42:08.076000","203000000000011312","2015-10-01 10:41:29.518000","Default Organization Charge Profile12","1","2099-12-31 23:59:59.000000","5000","203000000000011312","2015-10-01 11:30:28.633000","","test organisation ibm","20195","60","937164196"<endrec>
"2015-10-01 10:44:16.875000","203000000000011312","2015-10-01 10:43:53.157000","Test Charge Profile","1","2099-12-31 23:59:59.000000","1000","203000000000011312","2015-10-01 10:45:49.327000","","Test Charge Profile_IBM","20194","60","937164197"<endrec>
"2015-10-01 11:37:50.200000","203000000000011312","2015-10-01 11:37:14.291000","Test CP_IBM1","1","2015-10-01 11:39:31.524000","5000","203000000000011312","2015-10-01 11:39:31.529000","","Test CP_IBM1","20196","50","937164199"<endrec>
