ALLOW_EMPTY,CHANNEL,COMMAND_SCOPE,DATA_FORMAT,DATA_TYPE,DESCRIPTION,ENCRYPTED,PARAM_INVALID_ERROR_CODE,PARAM_MISSING_ERROR_CODE,PARA_CODE,PARA_ID,PARA_ORDER_ID,PARENT_PARA_ID,REQUIRED,REQUIRED_IF,SINCE_VERSION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       <endrec>
"false","IMTAPI","IMTRemittanceResponse","","String","","false","","","provisionalResponse","90178","7","90150","false","",""<endrec>
"true","IMTAPI","IMTRemittanceResponse","","String","","false","","","maxCompletionDate","90179","0","90178","false","$REF:HasExistsNode(""remittanceResponse.provisionalResponse"")",""<endrec>
"false","SchemaAPI","UpdateSPOperatorKYC","","String","","false","","","SimpleKYCUpdateData","9018","0","9017","false","",""<endrec>
"true","IMTAPI","IMTRemittanceResponse","","String","","false","","","state","90180","1","90178","false","$REF:HasExistsNode(""remittanceResponse.provisionalResponse"")",""<endrec>
"true","IMTAPI","IMTRemittanceResponse","","String","","false","","","label","90181","2","90178","false","$REF:HasExistsNode(""remittanceResponse.provisionalResponse"")",""<endrec>
"false","IMTAPI","IMTRemittanceResponse","","String","","false","","","stateSpecificFields","90182","3","90178","false","",""<endrec>
"true","IMTAPI","IMTRemittance","","String","","false","","","SoapFaultTemplate","90183","13","90093","false","",""<endrec>
"false","IMTAPI","IMTRemittance","","String","","false","","","sourceUri","90184","9","90093","true","",""<endrec>
"false","SchemaAPI","UpdateSPOperatorKYC","","String","","false","","","AddField","9019","0","9018","false","",""<endrec>
"false","API","ChangeCustPIN","","String","","false","","","Identity","902","0","901","true","",""<endrec>
"true","SchemaAPI","UpdateSPOperatorKYC","","String","","false","","","[KYC][Personal Details][Date of Birth]","9020","0","9019","false","",""<endrec>
"false","IMTAPI","IMTStatus","","String","","false","","","statusRequest","90200","0","-1","false","",""<endrec>
"true","IMTAPI","IMTStatus","","String","","false","","","security","90201","0","90200","false","",""<endrec>
"false","IMTAPI","IMTStatus","","String","","false","","","login","90202","0","90201","true","",""<endrec>
"false","IMTAPI","IMTStatus","","String","","false","","","password","90203","1","90201","true","",""<endrec>
"false","IMTAPI","IMTStatus","","String","","false","","","transactionId","90204","1","90200","true","",""<endrec>
"false","IMTAPI","IMTStatus","","String","","false","","","hsTransactionId","90205","2","90200","true","",""<endrec>
"true","IMTAPI","IMTStatus","","String","","false","","","vendorSpecificFields","90206","3","90200","false","",""<endrec>
"true","IMTAPI","IMTStatus","","String","","false","","","SoapFaultTemplate","90207","4","90200","false","",""<endrec>
"true","SchemaAPI","UpdateSPOperatorKYC","","String","","false","","","[KYC][Personal Details][First Name]","9021","0","9019","false","",""<endrec>
