APPLY_CHG_RULE_OPTION,CHARGE_CATEGORY_TYPE,CHARGE_TYPE_INDEX,LOAD_DATA_TS,PAYEE_ACCOUNT_TYPE,PAYER_ACCOUNT_TYPE,REASON_CHARGE_INDEX,REASON_UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    <endrec>
"1","1","10000022","","10014","10016","21985","937179427"<endrec>
"1","1","10000021","","10014","10011","21986","937179427"<endrec>
"1","1","10001162","","10014","10016","21987","937179434"<endrec>
"1","2","10001161","","10019","10018","21988","937179434"<endrec>
"1","1","10000050","","10014","10015","21989","937179442"<endrec>
"1","1","10000022","","10014","10016","21990","937179450"<endrec>
"1","1","10000021","","10014","10011","21991","937179450"<endrec>
"0","1","10000047","","10014","10011","21998","937181461"<endrec>
"1","1","10000047","","10014","10011","21999","937181464"<endrec>
"1","4","10000055","","10020","10018","22000","937181464"<endrec>
"1","1","10000080","","10014","10135","22001","937181467"<endrec>
"1","1","10000076","","10014","10011","22002","937181467"<endrec>
"0","1","10000050","","10014","10019","22003","937181468"<endrec>
"1","1","10000031","","10014","10011","22008","937182474"<endrec>
"1","2","10000032","","10019","10018","22009","937182474"<endrec>
"1","1","10000005","","10014","10015","22012","937182478"<endrec>
"1","4","10000057","","10020","10014","22013","937182478"<endrec>
"1","1","10001162","","10014","10016","22014","937182485"<endrec>
"1","2","10001161","","10019","10018","22015","937182485"<endrec>
"1","1","10000031","","10014","10011","22016","937182487"<endrec>
"1","2","10000032","","10019","10018","22017","937182487"<endrec>
"1","1","10000031","","10014","10011","22018","937182488"<endrec>
"1","2","10000032","","10019","10018","22019","937182488"<endrec>
"1","1","10000031","","10014","10011","22020","937182499"<endrec>
"1","2","10000032","","10019","10018","22021","937182499"<endrec>
"1","1","10000029","","10014","10011","22022","937182533"<endrec>
"1","1","10001421","","10014","10011","22023","937182534"<endrec>
"1","1","10000022","","10014","10016","22024","937182534"<endrec>
"0","5","10001171","","10011","10011","22028","937183465"<endrec>
"1","1","10000022","","10014","10016","22029","937183479"<endrec>
"1","1","10000021","","10014","10011","22030","937183479"<endrec>
"1","5","10000026","","10019","10011","22031","937183487"<endrec>
"1","1","10000022","","10014","10016","22032","937183489"<endrec>
"1","1","10000021","","10014","10011","22033","937183489"<endrec>
"1","1","10000027","","10014","10027","22034","937183491"<endrec>
"1","1","10000047","","10014","10011","22035","937183495"<endrec>
"1","4","10000055","","10020","10018","22036","937183495"<endrec>
"1","1","10000029","","10014","10011","22037","937183503"<endrec>
"1","1","10000029","","10014","10011","22038","937183505"<endrec>
"1","1","10000022","","10014","10016","22039","937183506"<endrec>
"1","1","10000021","","10014","10011","22040","937183506"<endrec>
"1","5","10000026","","10019","10011","22041","937183508"<endrec>
"1","5","10000026","","10019","10011","22042","937183509"<endrec>
"1","5","10000026","","10019","10011","22043","937183510"<endrec>
"1","1","10000005","","10014","10015","22044","937183519"<endrec>
"1","1","10000005","","10014","10015","22045","937183520"<endrec>
"1","1","10000005","","10014","10015","22046","937183521"<endrec>
"","1","10000015","","10014","10011","22048","937184534"<endrec>
"0","1","10000050","","10014","10019","22049","937184538"<endrec>
"0","1","10000050","","10014","10019","22050","937184539"<endrec>
"0","5","10001171","","10011","10011","22058","937185533"<endrec>
"1","1","10000050","","10014","10015","22068","937187536"<endrec>
"1","2","10000020","","10019","10018","22069","937187537"<endrec>
"0","3","10000037","","10019","10018","22070","937187537"<endrec>
"","1","10000036","","10014","10011","22078","937188531"<endrec>
"1","5","10000026","","10019","10011","22079","937188536"<endrec>
"","1","10000036","","10014","10011","22088","937190553"<endrec>
"","1","10000036","","10014","10011","22089","937190554"<endrec>
"","1","10000036","","10014","10011","22090","937190555"<endrec>
"1","2","10000020","","10019","10018","22091","937190562"<endrec>
"0","3","10000037","","10019","10018","22092","937190562"<endrec>
"1","1","10000050","","10014","10015","22093","937190568"<endrec>
"1","5","10000051","","10011","10015","22094","937190568"<endrec>
"1","1","10000047","","10014","10011","22095","937190569"<endrec>
"1","4","10000055","","10020","10018","22096","937190569"<endrec>
"1","1","10000050","","10014","10015","22097","937190570"<endrec>
"1","1","10000050","","10014","10015","22098","937190571"<endrec>
"1","1","10000050","","10014","10015","22099","937190572"<endrec>
"1","1","10000103","","10014","10022","22100","937190573"<endrec>
"1","1","10000104","","10014","10016","22101","937190573"<endrec>
