LOAD_DATA_TS,PRODUCT_UNIQUE_ID,PROPERTY_CODE,PROPERTY_VALUE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             <endrec>
"","30120121","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","30121055","BILL_REF_NUM_RULE",""<endrec>
"","30121055","ORG_IDENTITY_MODEL","1"<endrec>
"","30121055","ORG_IDENTITY_SUB_TYPE","5002"<endrec>
"","30121056","BILL_REF_NUM_RULE",""<endrec>
"","30121056","ORG_IDENTITY_MODEL","1"<endrec>
"","30121056","ORG_IDENTITY_SUB_TYPE","5002"<endrec>
"","30121057","B2B_BILL_REF_NUM_RULE",""<endrec>
"","30121057","BILL_REF_NUM_RULE",""<endrec>
"","30121057","ORG_IDENTITY_MODEL","1"<endrec>
"","30121057","ORG_IDENTITY_SUB_TYPE","5001"<endrec>
"","30121075","ORG_IDENTITY_MODEL","1"<endrec>
"","30121075","ORG_IDENTITY_SUB_TYPE","5001"<endrec>
"","30122079","ORG_IDENTITY_MODEL","3"<endrec>
"","30122079","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","30122080","B2B_BILL_REF_NUM_RULE",""<endrec>
"","30122080","BILL_REF_NUM_RULE",""<endrec>
"","30122080","ORG_IDENTITY_MODEL","3"<endrec>
"","30122080","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","30122081","B2B_BILL_REF_NUM_RULE",""<endrec>
"","30122081","BILL_REF_NUM_RULE",""<endrec>
"","30122081","ORG_IDENTITY_MODEL","1"<endrec>
"","30122081","ORG_IDENTITY_SUB_TYPE","5001"<endrec>
"","30122082","ORG_IDENTITY_MODEL","3"<endrec>
"","30122082","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","30122083","B2B_BILL_REF_NUM_RULE",""<endrec>
"","30122083","BILL_REF_NUM_RULE",""<endrec>
"","30122083","ORG_IDENTITY_MODEL","1"<endrec>
"","30122083","ORG_IDENTITY_SUB_TYPE","5002"<endrec>
"","30127081","FSI_ORG_PRODUCT_FLAG",""<endrec>
"","30127081","ORG_IDENTITY_MODEL","3"<endrec>
"","30127081","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","30127088","FSI_ORG_PRODUCT_FLAG",""<endrec>
"","30127088","ORG_IDENTITY_MODEL","3"<endrec>
"","30127088","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","30127089","CUST_FSI_CORE_PRODUCT_FLAG",""<endrec>
"","30127089","CUST_IDENTITY_SUB_TYPE","1002"<endrec>
"","30128078","FSI_ORG_PRODUCT_FLAG",""<endrec>
"","30128078","ORG_IDENTITY_MODEL","3"<endrec>
"","30128078","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","30128079","FSI_ORG_PRODUCT_FLAG",""<endrec>
"","30128079","ORG_IDENTITY_MODEL","3"<endrec>
"","30128079","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","30129085","ORG_IDENTITY_MODEL","3"<endrec>
"","30129085","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","30129089","BILL_REF_NUM_RULE",""<endrec>
"","30129089","ORG_IDENTITY_MODEL","3"<endrec>
"","30129089","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","30129090","B2B_BILL_REF_NUM_RULE",""<endrec>
"","30129090","BILL_REF_NUM_RULE",""<endrec>
"","30129090","ORG_IDENTITY_MODEL","1"<endrec>
"","30129090","ORG_IDENTITY_SUB_TYPE","5002"<endrec>
"","30129092","FSI_ORG_PRODUCT_FLAG",""<endrec>
"","30129092","ORG_IDENTITY_MODEL","3"<endrec>
"","30129092","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","30129093","FSI_ORG_PRODUCT_FLAG",""<endrec>
"","30129093","ORG_IDENTITY_MODEL","3"<endrec>
"","30129093","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","30132083","ORG_IDENTITY_MODEL","3"<endrec>
"","30132083","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","30132083","ORG_IMT_PRODUCT",""<endrec>
"","30132084","ORG_IDENTITY_MODEL","3"<endrec>
"","30132084","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","30132084","ORG_IMT_PRODUCT",""<endrec>
"","30136103","CUST_IDENTITY_SUB_TYPE","1002"<endrec>
"","30136104","CUST_FSI_CORE_PRODUCT_FLAG",""<endrec>
"","30136104","CUST_IDENTITY_SUB_TYPE","1002"<endrec>
"","30136106","BILL_REF_NUM_RULE",""<endrec>
"","30136106","ORG_IDENTITY_MODEL","3"<endrec>
"","30136106","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","30141095","ORG_IDENTITY_MODEL","1"<endrec>
"","30141095","ORG_IDENTITY_SUB_TYPE","5001"<endrec>
"","30141096","ORG_IDENTITY_MODEL","0"<endrec>
"","30141096","ORG_IDENTITY_SUB_TYPE","5001"<endrec>
"","30141097","ORG_IDENTITY_MODEL","1"<endrec>
"","30141097","ORG_IDENTITY_SUB_TYPE","5002"<endrec>
"","30141098","ORG_IDENTITY_MODEL","0"<endrec>
"","30141098","ORG_IDENTITY_SUB_TYPE","5002"<endrec>
"","30145142","CUST_IDENTITY_SUB_TYPE","1002"<endrec>
"","30145143","CUST_IDENTITY_SUB_TYPE","1002"<endrec>
"","30153165","ORG_IDENTITY_MODEL","0"<endrec>
"","30153165","ORG_IDENTITY_SUB_TYPE","5001"<endrec>
"","30157273","CUST_IDENTITY_SUB_TYPE","1002"<endrec>
"","937137895","ORG_IDENTITY_MODEL","3"<endrec>
"","937137895","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","937137896","ORG_IDENTITY_MODEL","3"<endrec>
"","937137896","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","937137897","ORG_IDENTITY_MODEL","3"<endrec>
"","937137897","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","937143895","ORG_IDENTITY_MODEL","1"<endrec>
"","937143895","ORG_IDENTITY_SUB_TYPE","5002"<endrec>
"","937147109","CUST_IDENTITY_SUB_TYPE","1000"<endrec>
"","937150107","CUST_IDENTITY_SUB_TYPE","1000"<endrec>
"","937150142","CUST_IDENTITY_SUB_TYPE","1002"<endrec>
"","937153134","ORG_IDENTITY_MODEL","0"<endrec>
"","937153134","ORG_IDENTITY_SUB_TYPE","5002"<endrec>
"","937153135","B2B_BILL_REF_NUM_RULE",""<endrec>
"","937153135","BILL_REF_NUM_RULE",""<endrec>
"","937153135","ORG_IDENTITY_MODEL","3"<endrec>
"","937153135","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","937153136","ORG_IDENTITY_MODEL","1"<endrec>
"","937153136","ORG_IDENTITY_SUB_TYPE","5002"<endrec>
"","937154163","ORG_IDENTITY_MODEL","1"<endrec>
"","937154163","ORG_IDENTITY_SUB_TYPE","5002"<endrec>
"","937154164","ORG_IDENTITY_MODEL","0"<endrec>
"","937154164","ORG_IDENTITY_SUB_TYPE","5002"<endrec>
"","937154165","B2B_BILL_REF_NUM_RULE",""<endrec>
"","937154165","BILL_REF_NUM_RULE",""<endrec>
"","937154165","ORG_IDENTITY_MODEL","3"<endrec>
"","937154165","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","937156182","CUST_IDENTITY_SUB_TYPE","1002"<endrec>
"","937156183","ORG_IDENTITY_MODEL","3"<endrec>
"","937156183","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","937156183","ORG_IMT_PRODUCT","IMT Cashin"<endrec>
"","937163229","CUST_IDENTITY_SUB_TYPE","1002"<endrec>
"","937163230","BILL_REF_NUM_RULE",""<endrec>
"","937163230","ORG_IDENTITY_MODEL","3"<endrec>
"","937163230","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","937163244","BILL_REF_NUM_RULE",""<endrec>
"","937163244","ORG_IDENTITY_MODEL","3"<endrec>
"","937163244","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","937163245","BILL_REF_NUM_RULE",""<endrec>
"","937163245","ORG_IDENTITY_MODEL","3"<endrec>
"","937163245","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","937163247","BILL_REF_NUM_RULE",""<endrec>
"","937163247","ORG_IDENTITY_MODEL","3"<endrec>
"","937163247","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","937164206","CUST_IDENTITY_SUB_TYPE","1002"<endrec>
"","937164215","ORG_IDENTITY_MODEL","1"<endrec>
"","937164215","ORG_IDENTITY_SUB_TYPE","5001"<endrec>
"","937164237","ORG_IDENTITY_MODEL","1"<endrec>
"","937164237","ORG_IDENTITY_SUB_TYPE","5001"<endrec>
"","937164242","ORG_IDENTITY_MODEL","1"<endrec>
"","937164242","ORG_IDENTITY_SUB_TYPE","5001"<endrec>
"","937164243","CUST_IDENTITY_SUB_TYPE","1002"<endrec>
"","937164249","CUST_IDENTITY_SUB_TYPE","1002"<endrec>
"","937164250","ORG_IDENTITY_MODEL","3"<endrec>
"","937164250","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","937164251","ORG_IDENTITY_MODEL","1"<endrec>
"","937164251","ORG_IDENTITY_SUB_TYPE","5001"<endrec>
"","937164256","CUST_IDENTITY_SUB_TYPE","1002"<endrec>
"","937164271","ORG_IDENTITY_MODEL","1"<endrec>
"","937164271","ORG_IDENTITY_SUB_TYPE","5001"<endrec>
"","937166317","ORG_IDENTITY_MODEL","1"<endrec>
"","937166317","ORG_IDENTITY_SUB_TYPE","5001"<endrec>
"","937166427","ORG_IDENTITY_MODEL","3"<endrec>
"","937166427","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","937166474","CUST_IDENTITY_SUB_TYPE","1002"<endrec>
"","937166475","CUST_IDENTITY_SUB_TYPE","1000"<endrec>
"","937166476","ORG_IDENTITY_MODEL","1"<endrec>
"","937166476","ORG_IDENTITY_SUB_TYPE","5002"<endrec>
"","937166479","CUST_IDENTITY_SUB_TYPE","1000"<endrec>
"","937166480","ORG_IDENTITY_MODEL","1"<endrec>
"","937166480","ORG_IDENTITY_SUB_TYPE","5002"<endrec>
"","937167320","ORG_IDENTITY_MODEL","1"<endrec>
"","937167320","ORG_IDENTITY_SUB_TYPE","5002"<endrec>
"","937167374","CUST_IDENTITY_SUB_TYPE","1002"<endrec>
"","937174342","CUST_IDENTITY_SUB_TYPE","1002"<endrec>
"","937174344","ORG_IDENTITY_MODEL","1"<endrec>
"","937174344","ORG_IDENTITY_SUB_TYPE","5002"<endrec>
"","937174356","CUST_IDENTITY_SUB_TYPE","1002"<endrec>
"","937174378","ORG_IDENTITY_MODEL","1"<endrec>
"","937174378","ORG_IDENTITY_SUB_TYPE","5002"<endrec>
"","937174379","BILL_REF_NUM_RULE",""<endrec>
"","937174379","ORG_IDENTITY_MODEL","3"<endrec>
"","937174379","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","937178396","CUST_IDENTITY_SUB_TYPE","1002"<endrec>
"","937178421","CUST_IDENTITY_SUB_TYPE","1002"<endrec>
"","937178422","ORG_IDENTITY_MODEL","1"<endrec>
"","937178422","ORG_IDENTITY_SUB_TYPE","5002"<endrec>
"","937178455","CUST_IDENTITY_SUB_TYPE","1002"<endrec>
"","937178461","B2B_BILL_REF_NUM_RULE",""<endrec>
"","937178461","BILL_REF_NUM_RULE",""<endrec>
"","937178461","ORG_IDENTITY_MODEL","3"<endrec>
"","937178461","ORG_IDENTITY_SUB_TYPE","-1"<endrec>
"","937178463","ORG_IDENTITY_MODEL","1"<endrec>
"","937178463","ORG_IDENTITY_SUB_TYPE","5002"<endrec>
"","937178471","B2B_BILL_REF_NUM_RULE",""<endrec>
