DEFAULT_VALUE,LANGUAGE,VARIABLE_NAME                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    <endrec>
"1234567.89","en","Transaction.FeeInfo.Fee"<endrec>
"100000.00","en","Transaction.FeeInfo.OrgAmount"<endrec>
"1234567.89","en","Transaction.FeeInfo.Tax"<endrec>
"MaxCompletionDate","en","Transaction.IMTInfo.MaxCompletionDate"<endrec>
"ReceivedAmount","en","Transaction.IMTInfo.ReceivedAmount"<endrec>
"ReceiverCurrency","en","Transaction.IMTInfo.ReceiverCurrency"<endrec>
"RecipientMSISDN","en","Transaction.IMTInfo.RecipientMSISDN"<endrec>
"RecipientName","en","Transaction.IMTInfo.RecipientName"<endrec>
"ScreeningEndDate","en","Transaction.IMTInfo.ScreeningEndDate"<endrec>
"TransactionCode","en","Transaction.IMTInfo.TransactionCode"<endrec>
"VOCExpirationDate","en","Transaction.IMTInfo.VOCExpirationDate"<endrec>
"ValidationMessage","en","Transaction.IMTInfo.ValidationMessage"<endrec>
"50000.00","en","Transaction.Initiator.IdentityAccountBalance"<endrec>
"13612345678","en","Transaction.Initiator.IdentityMSISDN"<endrec>
"frozen","en","Transaction.Initiator.IdentityStatus"<endrec>
"1234","en","Transaction.Initiator.MSISDNLast4Digits"<endrec>
"andy","en","Transaction.Initiator.OrgName"<endrec>
"11/06/2013","en","Transaction.InputBeginDate"<endrec>
"12/06/2013","en","Transaction.InputEndDate"<endrec>
"100001","en","Transaction.MerchantTransationNumber"<endrec>
"0","en","Transaction.NewVoucher.Amount"<endrec>
"{{Transaction.NewVoucher.Currency}}","en","Transaction.NewVoucher.Currency"<endrec>
"{{Transaction.NewVoucher.ExpireDate}}","en","Transaction.NewVoucher.ExpireDate"<endrec>
"{{Transaction.NewVoucher.IsOtherVoucher}}","en","Transaction.NewVoucher.IsOtherVoucher"<endrec>
"{{Transaction.NewVoucher.VoucherCode}}","en","Transaction.NewVoucher.VoucherCode"<endrec>
"100000","en","Transaction.ODInfo.Balance"<endrec>
"100000","en","Transaction.ODInfo.Debt"<endrec>
"01/01/2018","en","Transaction.ODInfo.DueDate"<endrec>
"100000","en","Transaction.ODInfo.Interest"<endrec>
"100000","en","Transaction.ODInfo.Limit"<endrec>
"100000","en","Transaction.ODInfo.ODAmount"<endrec>
"100000","en","Transaction.ODInfo.Penalty"<endrec>
"0.1","en","Transaction.ODInfo.PenaltyRate"<endrec>
"100000","en","Transaction.ODInfo.Principal"<endrec>
"0","en","Transaction.ODInfo.ResultCode"<endrec>
"100000","en","Transaction.ODInfo.TransactionAmount"<endrec>
"15320145","en","Transaction.OperatorCode"<endrec>
"200","en","Transaction.OriginalTxn.Amount"<endrec>
"200","en","Transaction.OriginalTxn.OrderId"<endrec>
"200","en","Transaction.OriginalTxn.ReasonType"<endrec>
"00012491","en","Transaction.PayBillInfo.BillReferenceNumber"<endrec>
"8613512345678","en","Transaction.Primary.IdentityAccountHolderName"<endrec>
"M-pesa account","en","Transaction.Primary.IdentityAccountTypeName"<endrec>
