LIMIT_OBJECT_ID,LIMIT_RULE_UNIQUE_ID,OBJECT_ID,OBJECT_TYPE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              <endrec>
"164309000","937510265","20022","2"<endrec>
"164310000","937510265","20003","2"<endrec>
"164311000","937510265","20020","2"<endrec>
"164312000","937510265","20039","2"<endrec>
"164334000","937510273","20047","2"<endrec>
"164335000","937510273","23001","2"<endrec>
"164336000","937510273","20051","2"<endrec>
"164337000","937510273","21799","2"<endrec>
"164338000","937510273","21800","2"<endrec>
"164339000","937510273","21805","2"<endrec>
"164341000","937510278","20803","2"<endrec>
"164342000","937510278","20020","2"<endrec>
"164346000","937510404","20020","2"<endrec>
"164348000","937510417","20004","2"<endrec>
"164349000","937510417","20022","2"<endrec>
"164350000","937510417","20020","2"<endrec>
"164352000","937510418","20004","2"<endrec>
"164353000","937510418","20006","2"<endrec>
"164354000","937510418","20008","2"<endrec>
"164355000","937510418","20022","2"<endrec>
"164356000","937510418","20020","2"<endrec>
"164358000","937510478","20020","2"<endrec>
"165187000","937512739","5730","3"<endrec>
"165188000","937512739","21","3"<endrec>
"165190000","937512842","21505","2"<endrec>
"165191000","937512842","20006","2"<endrec>
"165192000","937512842","21598","2"<endrec>
"165193000","937512842","21698","2"<endrec>
"165194000","937512842","20001","2"<endrec>
"165195000","937512842","20003","2"<endrec>
"165196000","937512842","20039","2"<endrec>
"166187000","937513763","20020","2"<endrec>
"166188000","937513774","20020","2"<endrec>
"166189000","937513794","20020","2"<endrec>
"167187000","937514736","20020","2"<endrec>
"167188000","937514756","20020","2"<endrec>
"167189000","937514805","20020","2"<endrec>
"167190000","937514813","20020","2"<endrec>
"167191000","937514857","20020","2"<endrec>
"167192000","937514862","20020","2"<endrec>
"167193000","937514870","20020","2"<endrec>
"168187000","937515764","20020","2"<endrec>
"168188000","937515821","20022","2"<endrec>
"168189000","937515821","20020","2"<endrec>
"168190000","937515822","20001","2"<endrec>
"168191000","937515822","20022","2"<endrec>
"168192000","937515822","20020","2"<endrec>
"168193000","937515823","20020","2"<endrec>
"168196000","937515848","20022","2"<endrec>
"168197000","937515848","20020","2"<endrec>
"169187000","937520728","20020","2"<endrec>
"170187000","937528737","20001","2"<endrec>
"170188000","937528737","20003","2"<endrec>
"171187000","937532732","20020","2"<endrec>
"171188000","937532733","20020","2"<endrec>
"171189000","937532734","20020","2"<endrec>
"171190000","937532765","20022","2"<endrec>
"171191000","937532765","20020","2"<endrec>
"171192000","937532766","20001","2"<endrec>
"171193000","937532766","20022","2"<endrec>
"171194000","937532766","20020","2"<endrec>
"171195000","937532767","20020","2"<endrec>
"171198000","937532796","20020","2"<endrec>
"171199000","937532815","20022","2"<endrec>
"171200000","937532815","20020","2"<endrec>
"171201000","937532816","20001","2"<endrec>
"171202000","937532816","20022","2"<endrec>
