MAPPING_CATEGORY,MAPPING_DIRECTION,MAPPING_ID,MODIFY_FLAG,MSG_TYPE,SOURCE_TYPE,SOURCE_VALUE,TARGET_TYPE,TARGET_VALUE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    <endrec>
"57","02","30386","0","","01","BCS47013","01","ERR0022"<endrec>
"57","02","30387","0","","01","BCS47014","01","ERR0023"<endrec>
"57","02","30388","0","","01","BCS47015","01","ERR0024"<endrec>
"57","02","30389","0","","01","BCS47016","01","ERR0025"<endrec>
"57","02","30390","0","","01","AG47009","01","ERR0026"<endrec>
"57","02","30391","0","","01","BCS47017","01","ERR0027"<endrec>
"57","02","30392","0","","01","AG47010","01","ERR0028"<endrec>
"57","02","30393","0","","01","AG47011","01","ERR0029"<endrec>
"57","02","30394","0","","01","AG47012","01","ERR0030"<endrec>
"57","02","30395","0","","01","BCS47018","01","ERR0031"<endrec>
"57","02","30396","0","","01","BCS47019","01","ERR0032"<endrec>
"4054","02","30401","1","","01","TC30380","01","ERR0002"<endrec>
"4054","01","30498","1","","01","ERR0001","01","AG45000"<endrec>
"4054","01","30499","1","","01","ERR0002","01","AG45023"<endrec>
"06","02","30516","0","*","01","*","01","E0"<endrec>
"06","02","30517","0","*","01","0","01","S0"<endrec>
"06","02","30519","0","*","01","AG45028","01","1001"<endrec>
"02","02","30598","1","","01","TP40087","01","ER0010"<endrec>
"02","01","30599","1","*","01","ER0009","01","TP40087"<endrec>
"02","01","30600","1","","01","ER0000","01","TP40087"<endrec>
"52","02","30698","1","","01","AG45010","01","2000"<endrec>
"52","02","30699","1","","01","AG45019","01","2001"<endrec>
"52","02","30700","1","","01","GV50053","01","2002"<endrec>
"57","02","30701","0","","01","TC30206","01","ERR0003"<endrec>
"52","02","30704","1","","01","AG45021","01","2007"<endrec>
"52","02","30705","1","","01","IC50069","01","2010"<endrec>
"52","02","30706","1","","01","TS28009","01","2006"<endrec>
"52","02","30708","1","","01","TP30455","01","2004"<endrec>
"52","02","30899","1","","01","TP30021","01","2022"<endrec>
"52","02","30900","1","","01","TC30198","01","2023"<endrec>
"52","02","30901","1","","01","TC30538","01","2026"<endrec>
"52","02","30998","1","","01","PendingPMAction","01","2053"<endrec>
"52","01","36298","1","","01","ER0008","01","IC40304"<endrec>
"52","02","36300","1","","01","IC40304","01","ER0008"<endrec>
"52","02","36301","1","","01","TP40053","01","ER0008"<endrec>
"52","02","36302","1","","01","TP30025","01","ER0008"<endrec>
"52","02","36303","1","","01","AG45305","01","ER0008"<endrec>
"52","02","36304","1","","01","AG45600","01","ER0008"<endrec>
"52","02","36305","1","","01","TC30540","01","ER0008"<endrec>
"52","02","36306","1","","01","TC30539","01","ER0008"<endrec>
"52","01","36307","1","","01","ER0000","01","IC40304"<endrec>
"52","02","36308","1","","01","TC30202","01","2012"<endrec>
"52","01","36309","1","","01","2012","01","TC30202"<endrec>
"01","02","4","1","","01","TP30045","01","1020"<endrec>
"01","02","5","1","","01","TS28009","01","1030"<endrec>
"01","02","6","1","","01","TC30198","01","1001"<endrec>
"01","02","7","1","","01","TC30193","01","1001"<endrec>
"01","02","8","1","","01","TC30194","01","1001"<endrec>
"01","02","9","1","","01","IC13307","01","1001"<endrec>
