AUTO_WF_SWITCH,CREATE_OPER_ID,CREATE_OPER_TIME,END_TIME,INTERVAL_TYPE,INTERVAL_VALUE,LAST_OPER_ID,LAST_OPER_TIME,LOAD_DATA_TS,MANUAL_WF_SWITCH,NOTIFICATION_ORG_ROLE,NOTIFICATION_SP_ROLE,NOTIFICATION_TYPE,PERIODIC_SWITCH,SETTLEMENT_PROFILE_DESC,SETTLEMENT_PROFILE_ID,SETTLEMENT_PROFILE_NAME,SP_NOTIFICATION_TYPE,START_TIME,STATUS,UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      <endrec>
"0","203000000000012204","2016-04-27 14:07:02.401000","","5","3","203000000000012204","2016-04-28 07:10:53.316000","","0","500000000000010102","404000000000010001","107000000000062034","1","IBM Parent to child profile Trigger Balance","129","IBM Parent to child profile Manual - 1","107000000000062034","","50","937197719"<endrec>
"0","203000000000012204","2016-04-28 07:10:43.897000","","5","3","203000000000012204","2016-04-28 07:53:19.537000","","0","500000000000010102","404000000000010001","107000000000062034","1","IBM Parent to child profile Trigger Balance","129","IBM Parent to child profile Manual - 1","107000000000062034","","50","937197723"<endrec>
"0","203000000000013012","2016-04-28 07:13:30.492000","","","","203000000000010806","2016-05-02 08:18:14.368000","","0","500000000000010102","500000000000010004","107000000000062034","0","IBM Parent to child profile Manual","125","IBM Parent to child profile Manual","107000000000062034","","50","937197724"<endrec>
"0","203000000000013012","2016-04-28 07:44:55.008000","","","","203000000000013012","2016-04-28 08:24:35.813000","","0","500000000000010102","500000000000010004","107000000000062034","0","IBM Child to Parent profile Trigger Balance","128","IBM Child to Parent profile Trigger Balance","107000000000062034","","50","937197725"<endrec>
"0","203000000000012204","2016-04-28 07:53:10.871000","","5","3","203000000000012204","2016-04-28 08:07:37.219000","","0","500000000000010102","404000000000010001","107000000000062034","1","IBM Parent to child profile Trigger Balance","129","IBM Parent to child profile Manual - 1","107000000000062034","","50","937197727"<endrec>
"0","203000000000012204","2016-04-28 08:07:28.128000","","5","3","203000000000012204","2016-04-28 08:58:02.874000","","0","500000000000010102","404000000000010001","107000000000062034","1","IBM Parent to child profile Trigger Balance","129","IBM Parent to child profile Manual - 1","107000000000062034","","50","937197728"<endrec>
"0","203000000000013012","2016-04-28 08:24:24.828000","","5","1","203000000000011310","2016-04-28 10:43:32.847000","","0","500000000000010102","500000000000010004","107000000000062034","1","IBM Child to Parent profile Trigger Balance","128","IBM Child to Parent profile Trigger Balance","107000000000062034","","50","937197730"<endrec>
"0","203000000000012204","2016-04-28 08:57:48.735000","","5","3","203000000000012204","2016-04-28 09:04:59.976000","","0","500000000000010102","404000000000010001","107000000000062034","0","IBM Parent to child profile Trigger Balance","129","IBM Parent to child profile Manual - 1","107000000000062034","","50","937197735"<endrec>
"0","203000000000012204","2016-04-28 09:04:50.372000","","5","3","203000000000012204","2016-04-28 09:14:46.929000","","0","500000000000010102","404000000000010001","107000000000062034","1","IBM Parent to child profile Trigger Balance","129","IBM Parent to child profile Manual - 1","107000000000062034","","50","937197736"<endrec>
"0","203000000000012204","2016-04-28 09:14:35.103000","","5","3","203000000000011310","2016-04-28 09:23:16.297000","","0","500000000000010102","404000000000010001","107000000000062034","0","IBM Parent to child profile Trigger Balance","129","IBM Parent to child profile Manual - 1","107000000000062034","","50","937197737"<endrec>
"0","203000000000011310","2016-04-28 09:22:58.830000","","5","3","203000000000012204","2016-04-28 09:23:45.958000","","1","500000000000010102","404000000000010001","107000000000062034","0","IBM Parent to child profile manual Balance","129","IBM Parent to child profile Manual - 1","107000000000062034","","50","937197738"<endrec>
"0","203000000000012204","2016-04-28 09:23:35.339000","","5","3","203000000000013012","2016-04-28 10:52:31.672000","","0","500000000000010102","404000000000010001","107000000000062034","0","IBM Parent to child profile Trigger Balance","129","IBM Parent to child profile Manual - 1","107000000000062034","","50","937197739"<endrec>
"0","203000000000011310","2016-04-28 09:35:29.610000","","5","3","203000000000011311","2016-04-29 12:27:44.251000","","1","500000000000010102","500000000000010004","107000000000062034","0","IBM Child to Parent profile Manual","127","IBM Child to Parent profile Manual","107000000000062034","","50","937197740"<endrec>
"0","203000000000011310","2016-04-28 10:43:17.337000","","5","1","203000000000011310","2016-04-28 10:50:13.121000","","1","500000000000010102","500000000000010004","107000000000062034","0","IBM Child to Parent profile Trigger Balance","128","IBM Child to Parent profile Trigger Balance","107000000000062034","","50","937197746"<endrec>
"0","203000000000011310","2016-04-28 10:49:59.765000","","5","1","203000000000011310","2016-04-28 11:01:54.395000","","0","500000000000010102","500000000000010004","107000000000062034","0","IBM Child to Parent profile Trigger Balance","128","IBM Child to Parent profile Trigger Balance","107000000000062034","","50","937197748"<endrec>
