ALIAS,BUSINESS_SCOPE,CREATE_OPER_ID,CREATE_OPER_TIME,DESCRIPTION,LAST_OPER_ID,LAST_OPER_TIME,LOAD_DATA_TS,REASON_SELECTION_MODE,RECEIVER_TYPES,SERVICE_INDEX,SERVICE_NAME,STATUS,TXN_INDEX,UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    <endrec>
"FSI_Withdraw_Mshwari","2","203000000000010133","2014-10-01 15:06:59.031000","FSI Withdraw For M-Shwari","203000000000010804","2015-09-09 20:18:56.798000","","0","","10110","FSI Withdraw For M-Shwari","50","20051","30099762"<endrec>
"FSI_Active_Mshwari","3","203000000000010133","2014-10-01 15:07:55.927000","FSI Activate For M-Shwari","203000000000010804","2015-09-09 20:17:07.977000","","0","","10111","FSI Activate For M-Shwari","50","27","30099763"<endrec>
"FSI Request Mini Statement For M-Kesho","3","203000000000010063","2014-10-01 15:07:56.766000","FSI Request Mini Statement For M-Kesho","203000000000010133","2014-10-06 12:20:01.605000","","0","","10112","FSI Request Mini Statement For M-Kesho","50","29","30099764"<endrec>
"FSI_Req_Bal_Mshwari","3","203000000000010133","2014-10-01 15:08:26.069000","FSI Request Balance For M-Shwari","203000000000010804","2015-09-09 20:18:09.104000","","0","","10113","FSI Request Balance For M-Shwari","50","28","30099765"<endrec>
"FSI Payout For M-Kesho","2","203000000000010063","2014-10-01 15:08:54.117000","FSI Payout For M-Kesho","203000000000010133","2014-10-06 12:25:15.012000","","0","","10114","FSI Payout For M-Kesho","50","20049","30099766"<endrec>
"FSI Deposit For M-Kesho","2","203000000000010063","2014-10-01 15:09:28.318000","FSI Deposit For M-Kesho","203000000000010133","2014-10-06 11:55:27.542000","","0","","10116","FSI Deposit For M-Kesho","50","20046","30099768"<endrec>
"FSI Request Balance For M-Kesho","3","203000000000010063","2014-10-01 15:10:01.349000","FSI Request Balance For M-Kesho","203000000000010133","2014-10-06 12:15:48.312000","","0","","10118","FSI Request Balance For M-Kesho","50","28","30099770"<endrec>
"FSI Activate For M-Kesho","3","203000000000010063","2014-10-01 15:10:45.796000","FSI Activate For M-Kesho","203000000000010133","2014-10-06 12:26:22.509000","","0","","10120","FSI Activate For M-Kesho","50","27","30099772"<endrec>
"FSI Close For M-Kesho","3","203000000000010063","2014-10-01 15:11:08.576000","FSI Close For M-Kesho","203000000000010133","2014-10-01 15:31:30.573000","","0","","10121","FSI Close For M-Kesho","50","27","30099773"<endrec>
"FSI Close For M-Kesho","3","203000000000010133","2014-10-01 15:31:22.447000","FSI Close For M-Kesho","203000000000010133","2014-10-06 12:25:45.586000","","0","","10121","FSI Close For M-Kesho","50","27","30099783"<endrec>
"FSI_Deposit_Mkesho","2","203000000000010133","2014-10-06 11:55:05.113000","FSI Deposit For M-Kesho","203000000000013022","2016-09-13 04:10:56.259000","","0","","10116","FSI Deposit For M-Kesho","50","20046","30100643"<endrec>
"FSI_Withdraw_MKesho","2","203000000000010133","2014-10-06 11:57:53.333000","FSI Withdraw For M-Kesho","203000000000013022","2016-09-13 04:22:50.173000","","0","","10109","FSI Withdraw For M-Kesho","50","20051","30100644"<endrec>
"FSI Request Balance For M-Kesho","3","203000000000010133","2014-10-06 12:15:37.888000","FSI_Req_Balance_Mkesho","203000000000010133","2014-10-06 12:16:34.567000","","0","","10118","FSI Request Balance For M-Kesho","50","28","30100646"<endrec>
"FSI_Req_Balance_Mkesho","3","203000000000010133","2014-10-06 12:16:20.234000","FSI Request Balance For M-Kesho","203000000000013022","2016-09-13 04:14:29.580000","","0","","10118","FSI Request Balance For M-Kesho","50","28","30100647"<endrec>
"FSI_Req_Mini_Statement_M-Kesho","3","203000000000010133","2014-10-06 12:19:51.538000","FSI Request Mini Statement For M-Kesho","203000000000010133","2014-10-08 09:47:50.846000","","0","","10112","FSI Request Mini Statement For M-Kesho","50","29","30100648"<endrec>
