ORG_ROLE_ID,PERMISSION_IDENTIFIES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       <endrec>
"10010002","MANAGE_ORGANIZATION_EDIT_O2C_LINKAGE"<endrec>
"10010002","MANAGE_ORGANIZATION_INITIATE_TRANSACTION_ON_BEHALF_OF"<endrec>
"10010002","MANAGE_ORGANIZATION_REVIEW_TRANSATION"<endrec>
"10010002","MANAGE_ORGANIZATION_VIEW_ACCOUNT_INFO"<endrec>
"10010002","MANAGE_ORGANIZATION_VIEW_BASIC_INFO"<endrec>
"10010002","MANAGE_ORGANIZATION_VIEW_CHILD_ORGANIZATION"<endrec>
"10010002","MANAGE_ORGANIZATION_VIEW_HIERARCHY_MODEL"<endrec>
"10010002","MANAGE_ORGANIZATION_VIEW_KYC_INFO"<endrec>
"10010002","MANAGE_ORGANIZATION_VIEW_O2C_LINKAGE"<endrec>
"10010002","MANAGE_ORGANIZATION_VIEW_O2O_LINKAGE"<endrec>
"10010002","MANAGE_ORGANIZATION_VIEW_OPERATORS_"<endrec>
"10010002","MANAGE_ORGANIZATION_VIEW_PRODUCT_INFO"<endrec>
"10010002","MANAGE_ORGANIZATION_VIEW_TASK"<endrec>
"10010002","MANAGE_ORGANIZATION_VIEW_TILLS"<endrec>
"10010002","MANAGE_PERSON_PER3_CHANGE_KYC"<endrec>
"10010002","MANAGE_PERSON_PER3_VIEW_BASIC_INFO"<endrec>
"10010002","MANAGE_PERSON_PER3_VIEW_KYC_INFO"<endrec>
"10010002","MANAGE_REVERSE_TRANSACTION"<endrec>
"10010002","MANAGE_TILL_ADD_DEVICE"<endrec>
"10010002","MANAGE_TILL_AUDITLOG_EXPORT"<endrec>
"10010002","MANAGE_TILL_AUDITLOG_VIEW"<endrec>
"10010002","MANAGE_TILL_CHANGE_LANGUAGE"<endrec>
"10010002","MANAGE_TILL_CHANGE_SERVICE"<endrec>
"10010002","MANAGE_TILL_VIEW_BASIC_INFO"<endrec>
"10010002","MANAGE_TILL_VIEW_SERVICE"<endrec>
"10010002","MANAGE_TILL_VIEW_TASK"<endrec>
"10010002","MANUAL_GENERATE_COMMISSION_INVOICE_PER3"<endrec>
"10010002","MERCHANT_PER3_CREATE_MERCHANT"<endrec>
"10010002","MERCHANT_PER3_DELETE_MERCHANT"<endrec>
