ACCESS_CHANNEL,CATEGORY,ERROR_CODE,FUNCTION_ID,IS_INSTANTLY,NOTIFICATION_RULE_ID,NOTIFICATION_TYPE,RECEIVING_CHANNEL,RECIPIENT_ROLE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     <endrec>
"1002","0","GV50039","-1","1","101006","101000000000000049","1001","01"<endrec>
"1002","0","TP40301","-1","1","101008","101000000000000041","1001","01"<endrec>
"1003","0","TP30031","-1","1","101009","101000000000000051","1001","01"<endrec>
"1002","0","TP40098","-1","1","101068","107000000000002215","1001","01"<endrec>
"1002","0","IC40050","-1","1","101069","107000000000002215","1001","01"<endrec>
"1002","0","TP40056","-1","1","102073","107000000000002183","1001","01"<endrec>
"1002","0","TP30019","-1","1","102089","107000000000002197","1001","01"<endrec>
"1002","0","TC30072","-1","1","102091","107000000000002212","1001","01"<endrec>
"1002","0","TC30073","-1","1","102093","107000000000002212","1001","01"<endrec>
"1002","0","TP30300","-1","1","102095","107000000000002212","1001","01"<endrec>
"1002","0","TP30024","-1","1","102097","107000000000002182","1001","01"<endrec>
"1002","0","TP30025","-1","1","102099","107000000000002200","1001","01"<endrec>
"1002","0","TP30027","-1","1","102101","107000000000002218","1001","01"<endrec>
"1002","0","TP30111","-1","1","102103","107000000000002224","1001","01"<endrec>
"1002","0","TP30123","-1","1","102105","107000000000002219","1001","01"<endrec>
"1002","0","TP30124","-1","1","102107","107000000000002219","1001","01"<endrec>
"1002","0","TC30076","-1","1","102109","107000000000002219","1001","01"<endrec>
"1002","0","IC19300","-1","1","102111","107000000000002217","1001","01"<endrec>
"1002","0","IC19306","-1","1","102114","107000000000002188","1001","01"<endrec>
"1002","0","TP40159","-1","1","102116","107000000000002199","1001","01"<endrec>
"1002","0","IC40088","-1","1","102118","107000000000002198","1001","01"<endrec>
"1002","0","IC40141","-1","1","102120","107000000000002136","1001","01"<endrec>
"1002","0","IC40164","-1","1","102126","107000000000002159","1001","01"<endrec>
"1002","0","IC40066","-1","1","102129","107000000000002149","1001","01"<endrec>
"1002","0","TC70011","-1","1","105131","107000000000005032","1001","01"<endrec>
"1002","0","TC70012","-1","1","105137","107000000000005034","1001","04"<endrec>
"1002","0","TP40087","-1","1","106139","107000000000002098","1001","01"<endrec>
"1002","0","TP30047","-1","1","107140","107000000000002183","1001","01"<endrec>
"1002","0","TP40005","-1","1","108142","107000000000008040","9999","01"<endrec>
"1002","0","TC70000","-1","1","108144","107000000000008047","9999","01"<endrec>
"1002","0","TP30081","-1","1","109146","107000000000010032","1001","01"<endrec>
"1002","0","TP40094","-1","1","112187","107000000000007034","1001","01"<endrec>
"1002","0","IC40025","-1","1","112188","107000000000007032","1001","01"<endrec>
"1002","0","TC70035","-1","1","113187","107000000000017037","1001","05"<endrec>
"1002","0","TC70025","-1","1","113188","107000000000017038","1001","01"<endrec>
"1002","0","TC70024","-1","1","113189","107000000000002047","1001","04"<endrec>
