IS_INSTANTLY,NOTIFICATION_TYPE,OPERATION_CODE,RECEIVING_CHANNEL,RECIPIENT_ROLE,RECIPIENT_SUB_ROLE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       <endrec>
"1","208000000000088238","CreateDirectDebitMandateByGroup","9999","50","0"<endrec>
"1","208000000000021249","CreateDirectDebitMandateByOrganization","9999","49","0"<endrec>
"1","208000000000021249","CreateDirectDebitMandateByOrganization","9999","50","0"<endrec>
"1","208000000000088241","CreateDirectDebitMandateByPayee","9999","49","0"<endrec>
"1","208000000000088240","CreateDirectDebitMandateByPayee","9999","50","0"<endrec>
"1","208000000000068238","CreateGroup","0000","01","0"<endrec>
"1","208000000000016238","CreateGroup","0000","06","0"<endrec>
"1","208000000000016238","CreateGroup","0000","7000","500000000000011802"<endrec>
"1","208000000000016238","CreateGroup","0000","7000","500000000000011803"<endrec>
"1","208000000000016238","CreateGroup","0000","7000","500000000000011902"<endrec>
"1","208000000000016238","CreateGroup","0000","7000","500000000000012204"<endrec>
"1","208000000000068238","CreateGroup","9999","0101","0"<endrec>
"1","208000000000068238","CreateGroup","9999","15","0"<endrec>
"1","208000000000052240","CreateGroupLoyaltyAccount","9999","7000","500000000000011802"<endrec>
"1","208000000000018238","CreateGroupReminderSchedule","9999","01","0"<endrec>
"1","208000000000018238","CreateGroupReminderSchedule","9999","7000","500000000000011902"<endrec>
"1","208000000000056239","CreateIdentityBankAccount","0000","02","0"<endrec>
"1","208000000000056239","CreateIdentityBankAccount","9999","01","0"<endrec>
"1","208000000000056239","CreateIdentityBankAccount","9999","0101","0"<endrec>
"1","208000000000033238","CreateOrgLoyaltyAccount","9999","02","0"<endrec>
"1","107000000000001001","CreateOrgOperator","0000","01","0"<endrec>
"1","102000000000000002","CreateOrgOperator","0000","02","0"<endrec>
"1","208000000000019238","CreateOrgOperator","0000","0201","0"<endrec>
"1","208000000000019238","CreateOrgOperator","0000","06","0"<endrec>
"1","208000000000033241","CreateOrganizationBundle","9999","01","0"<endrec>
"1","208000000000033241","CreateOrganizationBundle","9999","02","0"<endrec>
"1","208000000000018238","CreateReminderSchedule","9999","01","0"<endrec>
"1","208000000000018238","CreateReminderSchedule","9999","02","0"<endrec>
"1","208000000000018238","CreateReminderSchedule","9999","06","0"<endrec>
"1","208000000000018238","CreateReminderSchedule","9999","49","0"<endrec>
"1","102000000000000001","CreateSPOperator","0000","02","0"<endrec>
"1","208000000000104238","CreateTill","0000","02","0"<endrec>
"1","208000000000104238","CreateTill","9999","01","0"<endrec>
"1","208000000000019238","CreateTopOrg","0000","01","0"<endrec>
"1","208000000000019238","CreateTopOrg","0000","02","0"<endrec>
"1","102000000000000027","CustomerActivateByCreatePIN","9999","02","0"<endrec>
"1","208000000000057242","CustomerActivateCard","0000","01","0"<endrec>
"1","208000000000057242","CustomerActivateCard","0000","02","0"<endrec>
"1","208000000000021246","CustomerCancelCard","0000","02","0"<endrec>
