CREATE_OPER_ID,CREATE_OPER_TIME,DESCRIPTION,LAST_OPER_ID,LAST_OPER_TIME,LIMIT_ACCU_CONDITION_FLAG,LIMIT_EXPRESSION_ID,LIMIT_PATTERN,LIMIT_TYPE_ID,LIMIT_TYPE_NAME,STATUS,THRESHOLD_TYPE,TRANSACTION_ROLE_TYPE,UNIQUE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 <endrec>
"203000000000013109","2014-10-23 11:50:45.197000","Maximum Merchant Account Transfer Value","203000000000013109","2014-10-23 11:50:49.329000","","","0","14012000","Maximum Merchant Account Transfer Value","30","0","D","30112882"<endrec>
"203000000000013109","2014-10-24 15:11:04.834000","Minimum FSI Withdrawal","203000000000013109","2014-10-24 15:11:09.246000","","","1","15012000","Minimum FSI Withdrawal","30","0","C","30113880"<endrec>
"203000000000013109","2014-10-24 15:16:55.027000","Maximum FSI Loan Repayment","203000000000013109","2014-10-24 15:17:01.436000","","","0","15013000","Maximum FSI Loan Repayment","30","0","D","30113882"<endrec>
"203000000000013109","2014-10-24 15:19:34.167000","Maximum FSI Deposit","203000000000013109","2014-10-24 15:19:39.569000","","","0","15014000","Maximum FSI Deposit","30","0","D","30113884"<endrec>
"203000000000013109","2014-10-25 17:14:56.842000","Minimum FSI Loan Repayment","203000000000013109","2014-10-25 17:15:02.560000","","","1","16012000","Minimum FSI Loan Repayment","30","0","D","30114888"<endrec>
"203000000000013109","2014-10-25 17:16:23.073000","Minimum FSI Deposit","203000000000013109","2014-10-25 17:16:27.938000","","","1","16013000","Minimum FSI Deposit","30","0","D","30114890"<endrec>
"203000000000010164","2014-11-10 20:21:59.708000","Maximum FSI Credit Request","203000000000010164","2014-11-10 20:22:04.501000","","","0","17012000","Maximum FSI Credit Request","30","0","C","30120059"<endrec>
"203000000000010164","2014-11-28 12:43:37.464000","Maximum Deposit Account Balance","203000000000010164","2014-11-28 12:43:50.136000","","","0","18012000","Maximum Deposit Account Balance","30","1","C","30132104"<endrec>
"203000000000010164","2014-11-28 12:44:20.125000","Minimum Deposit Account Balance","203000000000016126","2016-08-04 05:53:44.802000","","","1","18013000","Minimum Deposit Account Balance","50","1","D","30132105"<endrec>
"203000000000010164","2014-11-28 12:48:25.129000","Maximum Deposit Account Transfer Value","203000000000016121","2016-08-10 13:00:19.691000","","","0","18014000","Maximum Deposit Account Transfer Value","50","0","D","30132106"<endrec>
"203000000000010164","2014-11-28 12:48:57.491000","Minimum Deposit Account Transfer Value","203000000000014909","2016-12-07 13:13:41.067000","","","1","18015000","Minimum Deposit Account Transfer Value","50","0","D","30132107"<endrec>
"203000000000010164","2014-11-28 12:49:28.282000","Maximum Deposit Account Daily Transfer","203000000000010164","2014-11-28 13:23:31.626000","","","0","18016000","Maximum Deposit Account Daily Transfer","30","2","D","30132108"<endrec>
"203000000000010164","2014-11-28 12:49:52.308000","Maximum Withdrawal Account Balance","203000000000010164","2014-11-28 13:24:34.968000","","","0","18017000","Maximum Withdrawal Account Balance","30","1","C","30132109"<endrec>
"203000000000010164","2014-11-28 12:50:22.957000","Minimum Withdrawal Account Balance","203000000000010164","2014-11-28 13:25:27.329000","","","1","18018000","Minimum Withdrawal Account Balance","30","1","D","30132110"<endrec>
