ERROR_CODE,IS_INSTANTLY,NOTIFICATION_TYPE,OPERATION_CODE,RECEIVING_CHANNEL,RECIPIENT_ROLE,RECIPIENT_SUB_ROLE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            <endrec>
"IC50048","1","208000000000034239","UnlinkIdentities","9999","01","0"<endrec>
"IC50052","1","208000000000030239","SubscribeSavingPlanForCustomer","0000","01","0"<endrec>
"IC50054","1","107000000000029057","SubscribeSavingPlanForCustomer","0000","01","0"<endrec>
"IC50054","1","107000000000029057","SubscribeSavingPlanForCustomer","0000","02","0"<endrec>
"IC50055","1","208000000000056240","SubscribeSavingPlanForCustomer","0000","01","0"<endrec>
"IC50055","1","208000000000056240","SubscribeSavingPlanForCustomer","9999","15","0"<endrec>
"IC50056","1","208000000000030238","SubscribeSavingPlanForCustomer","0000","01","0"<endrec>
"TC30091","1","208000000000034242","AddOrgBeneficiary","0000","01","0"<endrec>
"TC30133","1","107000000000002165","CCHIdentifyCustomer","1001","01","0"<endrec>
"TC30224","1","107000000000002067","ActivateCust","1001","01","0"<endrec>
"TC30505","1","208000000000028239","AddGroupMember","9999","01","0"<endrec>
"TC30505","1","208000000000028239","ChangeGroupMemberRole","9999","01","0"<endrec>
"TC30505","1","208000000000028239","RemoveGroupMember","9999","01","0"<endrec>
"TP30015","1","107000000000008033","ChangeOrgOperatorOwnKYC","9999","01","0"<endrec>
"TP30019","1","107000000000002197","ChangeCustPIN","1001","01","0"<endrec>
"TP30019","1","107000000000002197","ChangeOrgOperatorPIN","1001","01","0"<endrec>
"TP30047","1","107000000000002137","CCHResetCustPIN","1001","01","0"<endrec>
"TP30047","1","107000000000002059","CCHResetOrgOperatorPIN","1001","01","0"<endrec>
"TP30047","1","107000000000002144","CCHUnlockCustPIN","1001","01","0"<endrec>
"TP30047","1","107000000000002131","CCHUnlockOrgOperatorPIN","1001","01","0"<endrec>
"TP30048","1","107000000000002163","CCHIdentifyCustomer","1001","01","0"<endrec>
"TP30094","1","107000000000002145","CCHUnlockCustPIN","1001","01","0"<endrec>
"TP30131","1","107000000000002066","CreateCustomer","1001","01","0"<endrec>
"TP30131","1","107000000000002066","UpgradeCustomer","1001","01","0"<endrec>
"TP30204","1","107000000000002046","CreateOrgOperator","1001","01","0"<endrec>
"TP40005","1","107000000000002162","CCHIdentifyOrgOperator","1001","01","0"<endrec>
"TP40005","1","102000000000000102","CCHResetOrgOperatorPIN","1001","01","0"<endrec>
"TP40005","1","102000000000000102","CCHUnlockOrgOperatorPIN","1001","01","0"<endrec>
"TP40007","1","107000000000011032","ChangeOrgOperatorStatus","0000","01","0"<endrec>
"TP40046","1","208000000000034239","AddOrgBeneficiary","9999","01","0"<endrec>
"TP40046","1","208000000000034239","ApproveGroupTask","0000","01","0"<endrec>
"TP40046","1","102000000000000099","CustomerGetStartPIN","0000","01","0"<endrec>
"TP40046","1","208000000000034239","DeleteCustomerBeneficiary","9999","01","0"<endrec>
"TP40046","1","102000000000000099","DeleteOrgBeneficiary","9999","01","0"<endrec>
"TP40046","1","102000000000000099","SubscribeSavingPlanForCustomer","0000","01","0"<endrec>
"TP40047","1","208000000000034239","ActiveOrgFSIProducts","0000","01","0"<endrec>
"TP40047","1","102000000000000100","CCHChangeCustKYC","1001","01","0"<endrec>
"TP40047","1","208000000000034242","CCHIdentifyCustomer","1001","01","0"<endrec>
"TP40047","1","102000000000000100","CCHIdentifyOrgOperator","1001","01","0"<endrec>
"TP40047","1","102000000000000100","CCHResetCustPIN","1001","01","0"<endrec>
"TP40047","1","102000000000000100","CCHResetOrgOperatorPIN","1001","01","0"<endrec>
"TP40047","1","102000000000000100","CCHUnlockCustPIN","1001","01","0"<endrec>
"TP40047","1","102000000000000100","CCHUnlockOrgOperatorPIN","1001","01","0"<endrec>
"TP40050","1","102000000000000099","CCHChangeCustKYC","1001","01","0"<endrec>
"TP40050","1","102000000000000099","CCHIdentifyCustomer","1001","01","0"<endrec>
"TP40050","1","102000000000000099","CCHResetCustPIN","1001","01","0"<endrec>
"TP40050","1","102000000000000111","CCHResetOrgOperatorPIN","1001","01","0"<endrec>
"TP40050","1","102000000000000099","CCHUnlockCustPIN","1001","01","0"<endrec>
"TP40050","1","102000000000000099","SubscribeSavingPlanForCustomer","0000","01","0"<endrec>
"TP40050","1","102000000000000099","SubscribeSavingPlanForCustomer","0000","02","0"<endrec>
"TP40050","1","102000000000000099","SubscribeSavingPlanForCustomer","0000","06","0"<endrec>
"TP40050","1","102000000000000099","SubscribeSavingPlanForCustomer","0000","15","0"<endrec>
"TP40051","1","102000000000000104","CCHIdentifyOrgOperator","1001","01","0"<endrec>
"TP40051","1","102000000000000104","CCHResetOrgOperatorPIN","1001","01","0"<endrec>
"TP40051","1","102000000000000104","CCHUnlockOrgOperatorPIN","1001","01","0"<endrec>
"TP40087","1","107000000000008033","ActivateCust","1001","01","0"<endrec>
"TP40087","1","107000000000008033","ActivateOperator","1001","01","0"<endrec>
"TP40087","1","107000000000008033","ActivateTill","1001","01","0"<endrec>
"TP40087","1","107000000000008033","ActiveFSIKCBProducts","1001","01","0"<endrec>
"TP40087","1","107000000000008033","ActiveFSIProducts","1001","01","0"<endrec>
